Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
TESLA Model X,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L2X,standard SUV,10,107,97,102,10,Elite,0
"TESLA Model X Plaid (20"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L3X,standard SUV,10,103,93,98,10,Elite,0
"TESLA Model X Plaid (20"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L3X,standard SUV,10,103,93,98,10,Elite,0
"TESLA Model X Plaid (22"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L3X,standard SUV,10,94,88,91,10,Elite,0
"TESLA Model X Plaid (22"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L3X,standard SUV,10,94,88,91,10,Elite,0
TESLA Model Y,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L1Y,small SUV,10,140,119,129,10,Elite,0
TESLA Model Y,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L1Y,small SUV,10,140,119,129,10,Elite,0
TESLA Model Y,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L2Y,small SUV,10,129,116,123,10,Elite,0
TESLA Model Y,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L2Y,small SUV,10,129,116,123,10,Elite,0
TESLA Model Y Long Range,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L2Y,small SUV,10,127,117,122,10,Elite,0
TESLA Model Y Long Range,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L2Y,small SUV,10,127,117,122,10,Elite,0
TESLA Model Y Performance,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L2Y,small SUV,10,115,106,111,10,Elite,0
TESLA Model Y Performance,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L2Y,small SUV,10,115,106,111,10,Elite,0
TOYOTA 4Runner,4,6,SemiAuto-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NTYXT04.0M5S,standard SUV,5,16,19,17,3,No,503
TOYOTA 4Runner,4,6,SemiAuto-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NTYXT04.0M5S,standard SUV,5,16,19,17,3,No,503
TOYOTA 4Runner,4,6,SemiAuto-5,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NTYXT04.0M5S,standard SUV,5,16,19,17,3,No,515
TOYOTA 4Runner,4,6,SemiAuto-5,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NTYXT04.0M5S,standard SUV,5,16,19,17,3,No,519
TOYOTA 4Runner,4,6,SemiAuto-5,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NTYXT04.0M5S,standard SUV,5,16,19,17,3,No,515
TOYOTA 4Runner,4,6,SemiAuto-5,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NTYXT04.0M5S,standard SUV,5,16,19,17,3,No,519
