region,category,parameter,mode,powertrain,year,unit,value
Greece,Historical,EV sales,Cars,PHEV,2017,sales,140
Greece,Historical,EV sales,Cars,PHEV,2018,sales,230
Greece,Historical,EV sales,Cars,BEV,2018,sales,88
Greece,Historical,EV sales,Cars,BEV,2019,sales,190
Greece,Historical,EV sales,Cars,PHEV,2019,sales,290
Greece,Historical,EV sales,Cars,PHEV,2020,sales,1500
Greece,Historical,EV sales,Cars,BEV,2020,sales,680
Greece,Historical,EV sales,Cars,BEV,2021,sales,2200
Greece,Historical,EV sales,Cars,PHEV,2021,sales,4800
Iceland,Historical,EV sales,Cars,BEV,2010,sales,2
Iceland,Historical,EV sales,Cars,BEV,2012,sales,17
Iceland,Historical,EV sales,Cars,PHEV,2012,sales,9
Iceland,Historical,EV sales,Cars,PHEV,2013,sales,23
Iceland,Historical,EV sales,Cars,BEV,2013,sales,80
Iceland,Historical,EV sales,Cars,BEV,2014,sales,200
Iceland,Historical,EV sales,Cars,PHEV,2014,sales,29
Iceland,Historical,EV sales,Cars,PHEV,2015,sales,170
Iceland,Historical,EV sales,Cars,BEV,2015,sales,390
Iceland,Historical,EV sales,Cars,BEV,2016,sales,380
Iceland,Historical,EV sales,Cars,PHEV,2016,sales,780
Iceland,Historical,EV sales,Cars,PHEV,2017,sales,2200
Iceland,Historical,EV sales,Cars,BEV,2017,sales,850
Iceland,Historical,EV sales,Cars,BEV,2018,sales,780
Iceland,Historical,EV sales,Cars,PHEV,2018,sales,2900
Iceland,Historical,EV sales,Cars,PHEV,2019,sales,1700
Iceland,Historical,EV sales,Cars,BEV,2019,sales,910
Iceland,Historical,EV sales,Cars,BEV,2020,sales,2600
Iceland,Historical,EV sales,Cars,PHEV,2020,sales,2400
Iceland,Historical,EV sales,Cars,PHEV,2021,sales,4900
Iceland,Historical,EV sales,Cars,BEV,2021,sales,4300
India,Historical,EV sales,Cars,BEV,2010,sales,450
India,Historical,EV sales,Cars,BEV,2011,sales,1400
India,Historical,EV sales,Cars,BEV,2012,sales,190
India,Historical,EV sales,Cars,BEV,2013,sales,410
India,Historical,EV sales,Cars,BEV,2014,sales,1000
India,Historical,EV sales,Cars,BEV,2015,sales,450
India,Historical,EV sales,Cars,BEV,2016,sales,730
India,Historical,EV sales,Cars,BEV,2017,sales,920
India,Historical,EV sales,Cars,BEV,2018,sales,920
India,Historical,EV sales,Cars,BEV,2019,sales,680
India,Historical,EV sales,Cars,PHEV,2019,sales,7
India,Historical,EV sales,Cars,PHEV,2020,sales,43
India,Historical,EV sales,Cars,BEV,2020,sales,3100
India,Historical,EV sales,Cars,BEV,2021,sales,12000
India,Historical,EV sales,Cars,PHEV,2021,sales,41
Italy,Historical,EV sales,Cars,BEV,2010,sales,40
Italy,Historical,EV sales,Cars,BEV,2011,sales,110
Italy,Historical,EV sales,Cars,BEV,2012,sales,460
Italy,Historical,EV sales,Cars,BEV,2013,sales,790
Italy,Historical,EV sales,Cars,PHEV,2013,sales,180
